date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:24:22	98620/98620	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ef2fa96-1813c%22	https://tongtang.lpress.xyz/frontend/fonts/fa-brands-400.eot	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/fonts/fa-brands-400.eot	(from https://tongtang.lpress.xyz/frontend/css/fontawesome-all.min.css)
20:24:23	98620/98620	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ef2fa96-1813c%22	https://tongtang.lpress.xyz/frontend/fonts/fa-brands-400.eot?	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/fonts/fa-brands-400d41d.eot	(from https://tongtang.lpress.xyz/frontend/css/fontawesome-all.min.css)
20:24:24	54420/54420	---M--	200	added ('OK')	text/html	etag:%22d494-5a8cf10235180%22	https://tongtang.lpress.xyz/frontend/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/fonts/fa-brands-400.html	(from https://tongtang.lpress.xyz/frontend/css/fontawesome-all.min.css)
20:24:25	63712/63712	---M--	200	added ('OK')	font/woff	etag:%225ef2fa96-f8e0%22	https://tongtang.lpress.xyz/frontend/fonts/fa-brands-400.woff	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/fonts/fa-brands-400.woff	(from https://tongtang.lpress.xyz/frontend/css/fontawesome-all.min.css)
20:24:25	98384/98384	---M--	200	added ('OK')	application/octet-stream	etag:%225ef2fa96-18050%22	https://tongtang.lpress.xyz/frontend/fonts/fa-brands-400.ttf	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/fonts/fa-brands-400.ttf	(from https://tongtang.lpress.xyz/frontend/css/fontawesome-all.min.css)
20:24:26	508486/508486	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ef2fa96-7c246%22	https://tongtang.lpress.xyz/frontend/fonts/fa-brands-400.svg	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/fonts/fa-brands-400.svg	(from https://tongtang.lpress.xyz/frontend/css/fontawesome-all.min.css)
20:24:27	31156/31156	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ef2fa96-79b4%22	https://tongtang.lpress.xyz/frontend/fonts/fa-regular-400.eot	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/fonts/fa-regular-400.eot	(from https://tongtang.lpress.xyz/frontend/css/fontawesome-all.min.css)
20:24:27	31156/31156	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ef2fa96-79b4%22	https://tongtang.lpress.xyz/frontend/fonts/fa-regular-400.eot?	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/fonts/fa-regular-400d41d.eot	(from https://tongtang.lpress.xyz/frontend/css/fontawesome-all.min.css)
20:24:28	12220/12220	---M--	200	added ('OK')	text/html	etag:%222fbc-5a8cf10235180%22	https://tongtang.lpress.xyz/frontend/fonts/fa-regular-400.woff2	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/fonts/fa-regular-400.html	(from https://tongtang.lpress.xyz/frontend/css/fontawesome-all.min.css)
20:24:29	14712/14712	---M--	200	added ('OK')	font/woff	etag:%225ef2fa96-3978%22	https://tongtang.lpress.xyz/frontend/fonts/fa-regular-400.woff	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/fonts/fa-regular-400.woff	(from https://tongtang.lpress.xyz/frontend/css/fontawesome-all.min.css)
20:24:29	30928/30928	---M--	200	added ('OK')	application/octet-stream	etag:%225ef2fa96-78d0%22	https://tongtang.lpress.xyz/frontend/fonts/fa-regular-400.ttf	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/fonts/fa-regular-400.ttf	(from https://tongtang.lpress.xyz/frontend/css/fontawesome-all.min.css)
20:24:30	107565/107565	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ef2fa96-1a42d%22	https://tongtang.lpress.xyz/frontend/fonts/fa-regular-400.svg	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/fonts/fa-regular-400.svg	(from https://tongtang.lpress.xyz/frontend/css/fontawesome-all.min.css)
20:24:31	102152/102152	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ef2fa96-18f08%22	https://tongtang.lpress.xyz/frontend/fonts/fa-solid-900.eot	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/fonts/fa-solid-900.eot	(from https://tongtang.lpress.xyz/frontend/css/fontawesome-all.min.css)
